SRARunAccession	SRAFileUrl
SRR28675309	https://sra-pub-src-2.s3.amazonaws.com/SRR28675309/PAE49128_pass_79a6c48c_70.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675309/SRR28675309.1
SRR28675310	https://sra-pub-src-2.s3.amazonaws.com/SRR28675310/PAE49128_pass_79a6c48c_7.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675310/SRR28675310.1
SRR28675311	https://sra-pub-src-2.s3.amazonaws.com/SRR28675311/PAE49128_pass_79a6c48c_69.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675311/SRR28675311.1
SRR28675312	https://sra-pub-src-2.s3.amazonaws.com/SRR28675312/PAE49128_pass_79a6c48c_68.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675312/SRR28675312.1
SRR28675314	https://sra-pub-src-2.s3.amazonaws.com/SRR28675314/PAE49128_pass_79a6c48c_67.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675314/SRR28675314.1
SRR28675315	https://sra-pub-src-2.s3.amazonaws.com/SRR28675315/PAE49128_pass_79a6c48c_66.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675315/SRR28675315.1
SRR28675316	https://sra-pub-src-2.s3.amazonaws.com/SRR28675316/PAE49128_pass_79a6c48c_148.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675316/SRR28675316.1
SRR28675317	https://sra-pub-src-2.s3.amazonaws.com/SRR28675317/PAE49128_pass_0c2fd855_115.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675317/SRR28675317.1
SRR28675318	https://sra-pub-src-2.s3.amazonaws.com/SRR28675318/PAE49128_pass_79a6c48c_147.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675318/SRR28675318.1
SRR28675319	https://sra-pub-src-2.s3.amazonaws.com/SRR28675319/PAE49128_pass_79a6c48c_146.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675319/SRR28675319.1
SRR28675320	https://sra-pub-src-2.s3.amazonaws.com/SRR28675320/PAE49128_pass_79a6c48c_145.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675320/SRR28675320.1
SRR28675321	https://sra-pub-src-2.s3.amazonaws.com/SRR28675321/PAE49128_pass_79a6c48c_144.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675321/SRR28675321.1
SRR28675322	https://sra-pub-src-2.s3.amazonaws.com/SRR28675322/PAE49128_pass_79a6c48c_143.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675322/SRR28675322.1
SRR28675323	https://sra-pub-src-2.s3.amazonaws.com/SRR28675323/PAE49128_pass_79a6c48c_142.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675323/SRR28675323.1
SRR28675324	https://sra-pub-src-2.s3.amazonaws.com/SRR28675324/PAE49128_pass_79a6c48c_141.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675324/SRR28675324.1
SRR28675325	https://sra-pub-src-2.s3.amazonaws.com/SRR28675325/PAE49128_pass_79a6c48c_140.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675325/SRR28675325.1
SRR28675326	https://sra-pub-src-2.s3.amazonaws.com/SRR28675326/PAE49128_pass_79a6c48c_14.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675326/SRR28675326.1
SRR28675327	https://sra-pub-src-2.s3.amazonaws.com/SRR28675327/PAE49128_pass_79a6c48c_139.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675327/SRR28675327.1
SRR28675328	https://sra-pub-src-2.s3.amazonaws.com/SRR28675328/PAE49128_pass_0c2fd855_114.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675328/SRR28675328.1
SRR28675329	https://sra-pub-src-2.s3.amazonaws.com/SRR28675329/PAE49128_pass_79a6c48c_138.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675329/SRR28675329.1
SRR28675330	https://sra-pub-src-2.s3.amazonaws.com/SRR28675330/PAE49128_pass_79a6c48c_119.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675330/SRR28675330.1
SRR28675331	https://sra-pub-src-2.s3.amazonaws.com/SRR28675331/PAE49128_pass_79a6c48c_118.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675331/SRR28675331.1
SRR28675332	https://sra-pub-src-2.s3.amazonaws.com/SRR28675332/PAE49128_pass_79a6c48c_117.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675332/SRR28675332.1
SRR28675333	https://sra-pub-src-2.s3.amazonaws.com/SRR28675333/PAE49128_pass_79a6c48c_134.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675333/SRR28675333.1
SRR28675335	https://sra-pub-src-2.s3.amazonaws.com/SRR28675335/PAE49128_pass_79a6c48c_132.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675335/SRR28675335.1
SRR28675336	https://sra-pub-src-2.s3.amazonaws.com/SRR28675336/PAE49128_pass_79a6c48c_131.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675336/SRR28675336.1
